AAA, Abdominal aortic aneurysm
AAS, Aarskog-Scott syndrome
ABCD,   albinism, black lock, cell migration disorder
ACC, Agenesis of the corpus callosum
ACS, Acute coronary syndrome
ACTH, deficiency Adrenocorticotropic hormone deficiency
AD, Alzheimer's Disease
AD, Attachment disorder
ADD, Attention Deficit Disorder
ADD-RT, Attention Deficit Disorder-Residual Type
ADEM, Acute disseminated encephalomyelitis
ADHD, Attention Deficit Hyperactivity Disorder
AF, Atrial fibrillation
AGS, Aicardi-Goutieres syndrome
AHC, Alternating hemiplegia of childhood
AIDS, Acquired Immune Deficiency Syndrome
AIP, Acute intermittent porphyria
ALADD, Doss porphyria/ALA dehydratase deficiency/Plumboporphyria
ALA, Doss porphyria/ALA dehydratase deficiency/Plumboporphyria
ALI, Acute lung injury
ALS, Amyotrophic Lateral Sclerosis
AMD, Age-related Macular Degeneration
AOS, Apraxia of speech
APA, Aldosterone-Producing Adenoma
APS, Antiphospholipid syndrome
ARBD, Alcohol-Related Birth Defects
ARD, Adult Refsum disease
ARDS, Acute Respiratory Distress Syndrome
ARND, Alcohol-Related Neurodevelopmental Disorder
AS, Ankylosing Spondylitis
AS, Asperger syndrome
ASDs, Autism spectrum disorders
A-T, Ataxia-telangiectasia
AVMs, Arteriovenous malformations
BBS, Bashful Bladder Syndrome (see Paruresis)
BEB, Benign essential blepharospasm
BD, Binswanger's disease
BEH, Behaviorally/Emotionally Handicapped
BH, Behaviorally Handicapped
BMD, Becker's muscular dystrophy
BPH, Benign prostatic hyperplasia
BS, Bloom's syndrome
BSE, Bovine spongiform encephalopathy
BSS, Brown-Sequard syndrome
BV, Bacterial Vaginosis
CACH, Central Nervous System Hypomyelination
CAD, Coronary artery disease
CADASIL, Cerebral Autosomal Dominant Arteriopathy with Sub-cortical Infarcts and Leukoencephalopathy
CAPD, Central Auditory Processing Disorder
CCD, Considerable Conduct Disorder
CCHF, Crimean-Congo haemorrhagic fever
CCHS, Congenital Central Hypoventilation Syndrome
CCM, Cerebral cavernous malformation
CDG, Congenital disorder of glycosylation
CDGS, Carbohydrate deficient glycoprotein syndrome
CEP, Congenital erythropoietic porphyria
CESD, Cholesteryl ester storage disease
CF, Cystic Fibrosis
CFIDS, Chronic Fatigue Immune Dysfunction Syndrome
CFS, Chronic fatigue syndrome
CGBD, Corticobasal ganglionic degeneration
CH, Cluster headache
CHARGE, Coloboma of the eye, Heart defects, Atresia of the nasal choanae, Retarded growth & or development, Genital abnormalities, Ear abnormalities
CHD, Congenital Heart Disease
CHD, Congenital hip dysplasia
CHD, Coronary heart disease
CHF, Congestive heart failure
CIDP, Chronic inflammatory demyelinating polyneuropathy
CIPA, Congenital insensitivity to pain with anhidrosis
CJD, Creutzfeldt-Jakob disease
CMs, Chiari malformations
CMT, disease Charcot-Marie-Tooth disease
COFS, Cerebro-oculo-facio-skeletal syndrome
COPD, Chronic Obstructive Pulmonary Disease
CP, Cerebral Palsy
CP/CPPS, Chronic prostatitis/chronic pelvic pain syndrome
CPDD, Calcium pyrophosphate deposition disease
CPM, Central pontine myelinolysis
CPPS, Chronic Pelvic Pain Syndrome (see UCPPS)
CRF, Chronic Renal Failure
CRKP, Carbapenem resistant Klebsiella pneumonia
CRPS, Complex regional pain syndrome
CSA, Central sleep apnea
CSD, Cat scratch disease
CVD, Cardiovascular disease
DAS, Developmental apraxia of speech
DBA, Diamond Blackfan anemia
DBMD, Duchenne/Becker Muscular Dystrophy
DD, Developmental disability
DEF, Deaf
DF, Dengue Fever
